Instance 0
0x402dae:	MOVSD -0x18(%R13,%R15,1),%XMM14                   ;	linear pattern;	64
0x402db8:	MULSD -0x8(%R13,%RSI,1),%XMM14                    ;	linear pattern;	64
0x402dbf:	MOVSD (%R11,%R9,1),%XMM15                         ;	linear pattern;	64
0x402dca:	MULSD -0x18(%R13,%R15,1),%XMM15                   ;	linear pattern;	64
0x402dd1:	MOVSD -0x10(%RSP),%XMM14                          ;	linear pattern;	constant
0x402ddd:	MOVSD -0x20(%R13,%R15,1),%XMM15                   ;	linear pattern;	64
0x402de4:	MULSD -0x10(%R13,%RSI,1),%XMM15                   ;	linear pattern;	64
0x402deb:	MOVSD %XMM14,-0x10(%RSP)                          ;	linear pattern;	constant
0x402df7:	MOVSD 0x8(%R11,%R9,1),%XMM14                      ;	linear pattern;	64
0x402dfe:	MULSD -0x20(%R13,%R15,1),%XMM14                   ;	linear pattern;	64
0x402e05:	MOVSD -0x18(%RSP),%XMM15                          ;	linear pattern;	constant
0x402e11:	MOVSD -0x28(%R13,%R15,1),%XMM14                   ;	linear pattern;	64
0x402e18:	MULSD -0x18(%R13,%RSI,1),%XMM14                   ;	linear pattern;	64
0x402e1f:	MOVSD %XMM15,-0x18(%RSP)                          ;	linear pattern;	constant
0x402e2b:	MOVSD 0x10(%R11,%R9,1),%XMM15                     ;	linear pattern;	64
0x402e32:	MULSD -0x28(%R13,%R15,1),%XMM15                   ;	linear pattern;	64
0x402e39:	MOVSD -0x30(%R13,%R15,1),%XMM14                   ;	linear pattern;	64
0x402e45:	MULSD -0x20(%R13,%RSI,1),%XMM14                   ;	linear pattern;	64
0x402e4c:	MOVSD 0x18(%R11,%R9,1),%XMM15                     ;	linear pattern;	64
0x402e58:	MULSD -0x30(%R13,%R15,1),%XMM15                   ;	linear pattern;	64
0x402e5f:	MOVSD -0x38(%R13,%R15,1),%XMM14                   ;	linear pattern;	64
0x402e6b:	MULSD -0x28(%R13,%RSI,1),%XMM14                   ;	linear pattern;	64
0x402e72:	MOVSD 0x20(%R11,%R9,1),%XMM15                     ;	linear pattern;	64
0x402e7e:	MULSD -0x38(%R13,%R15,1),%XMM15                   ;	linear pattern;	64
0x402e85:	MOVSD -0x40(%R13,%R15,1),%XMM14                   ;	linear pattern;	64
0x402e91:	MULSD -0x30(%R13,%RSI,1),%XMM14                   ;	linear pattern;	64
0x402e98:	MOVSD 0x28(%R11,%R9,1),%XMM15                     ;	linear pattern;	64
0x402ea4:	MULSD -0x40(%R13,%R15,1),%XMM15                   ;	linear pattern;	64
0x402eab:	MOVSD -0x48(%R13,%R15,1),%XMM14                   ;	linear pattern;	64
0x402eb7:	MULSD -0x38(%R13,%RSI,1),%XMM14                   ;	linear pattern;	64
0x402ebe:	MOVSD 0x30(%R11,%R9,1),%XMM15                     ;	linear pattern;	64
0x402ecb:	MULSD -0x48(%R13,%R15,1),%XMM15                   ;	linear pattern;	64
0x402ed2:	MOVSD -0x50(%R13,%R15,1),%XMM14                   ;	linear pattern;	64
0x402ede:	MULSD -0x40(%R13,%RSI,1),%XMM14                   ;	linear pattern;	64
0x402ee5:	MOVSD 0x38(%R11,%R9,1),%XMM15                     ;	linear pattern;	64
0x402ef0:	MULSD -0x50(%R13,%R15,1),%XMM15                   ;	linear pattern;	64

Instance 1
0x402dae:	MOVSD -0x18(%R13,%R15,1),%XMM14                   ;	linear pattern;	64
0x402db8:	MULSD -0x8(%R13,%RSI,1),%XMM14                    ;	linear pattern;	64
0x402dbf:	MOVSD (%R11,%R9,1),%XMM15                         ;	linear pattern;	64
0x402dca:	MULSD -0x18(%R13,%R15,1),%XMM15                   ;	linear pattern;	64
0x402dd1:	MOVSD -0x10(%RSP),%XMM14                          ;	linear pattern;	constant
0x402ddd:	MOVSD -0x20(%R13,%R15,1),%XMM15                   ;	linear pattern;	64
0x402de4:	MULSD -0x10(%R13,%RSI,1),%XMM15                   ;	linear pattern;	64
0x402deb:	MOVSD %XMM14,-0x10(%RSP)                          ;	linear pattern;	constant
0x402df7:	MOVSD 0x8(%R11,%R9,1),%XMM14                      ;	linear pattern;	64
0x402dfe:	MULSD -0x20(%R13,%R15,1),%XMM14                   ;	linear pattern;	64
0x402e05:	MOVSD -0x18(%RSP),%XMM15                          ;	linear pattern;	constant
0x402e11:	MOVSD -0x28(%R13,%R15,1),%XMM14                   ;	linear pattern;	64
0x402e18:	MULSD -0x18(%R13,%RSI,1),%XMM14                   ;	linear pattern;	64
0x402e1f:	MOVSD %XMM15,-0x18(%RSP)                          ;	linear pattern;	constant
0x402e2b:	MOVSD 0x10(%R11,%R9,1),%XMM15                     ;	linear pattern;	64
0x402e32:	MULSD -0x28(%R13,%R15,1),%XMM15                   ;	linear pattern;	64
0x402e39:	MOVSD -0x30(%R13,%R15,1),%XMM14                   ;	linear pattern;	64
0x402e45:	MULSD -0x20(%R13,%RSI,1),%XMM14                   ;	linear pattern;	64
0x402e4c:	MOVSD 0x18(%R11,%R9,1),%XMM15                     ;	linear pattern;	64
0x402e58:	MULSD -0x30(%R13,%R15,1),%XMM15                   ;	linear pattern;	64
0x402e5f:	MOVSD -0x38(%R13,%R15,1),%XMM14                   ;	linear pattern;	64
0x402e6b:	MULSD -0x28(%R13,%RSI,1),%XMM14                   ;	linear pattern;	64
0x402e72:	MOVSD 0x20(%R11,%R9,1),%XMM15                     ;	linear pattern;	64
0x402e7e:	MULSD -0x38(%R13,%R15,1),%XMM15                   ;	linear pattern;	64
0x402e85:	MOVSD -0x40(%R13,%R15,1),%XMM14                   ;	linear pattern;	64
0x402e91:	MULSD -0x30(%R13,%RSI,1),%XMM14                   ;	linear pattern;	64
0x402e98:	MOVSD 0x28(%R11,%R9,1),%XMM15                     ;	linear pattern;	64
0x402ea4:	MULSD -0x40(%R13,%R15,1),%XMM15                   ;	linear pattern;	64
0x402eab:	MOVSD -0x48(%R13,%R15,1),%XMM14                   ;	linear pattern;	64
0x402eb7:	MULSD -0x38(%R13,%RSI,1),%XMM14                   ;	linear pattern;	64
0x402ebe:	MOVSD 0x30(%R11,%R9,1),%XMM15                     ;	linear pattern;	64
0x402ecb:	MULSD -0x48(%R13,%R15,1),%XMM15                   ;	linear pattern;	64
0x402ed2:	MOVSD -0x50(%R13,%R15,1),%XMM14                   ;	linear pattern;	64
0x402ede:	MULSD -0x40(%R13,%RSI,1),%XMM14                   ;	linear pattern;	64
0x402ee5:	MOVSD 0x38(%R11,%R9,1),%XMM15                     ;	linear pattern;	64
0x402ef0:	MULSD -0x50(%R13,%R15,1),%XMM15                   ;	linear pattern;	64

Instance 2
0x402dae:	MOVSD -0x18(%R13,%R15,1),%XMM14                   ;	linear pattern;	64
0x402db8:	MULSD -0x8(%R13,%RSI,1),%XMM14                    ;	linear pattern;	64
0x402dbf:	MOVSD (%R11,%R9,1),%XMM15                         ;	linear pattern;	64
0x402dca:	MULSD -0x18(%R13,%R15,1),%XMM15                   ;	linear pattern;	64
0x402dd1:	MOVSD -0x10(%RSP),%XMM14                          ;	linear pattern;	constant
0x402ddd:	MOVSD -0x20(%R13,%R15,1),%XMM15                   ;	linear pattern;	64
0x402de4:	MULSD -0x10(%R13,%RSI,1),%XMM15                   ;	linear pattern;	64
0x402deb:	MOVSD %XMM14,-0x10(%RSP)                          ;	linear pattern;	constant
0x402df7:	MOVSD 0x8(%R11,%R9,1),%XMM14                      ;	linear pattern;	64
0x402dfe:	MULSD -0x20(%R13,%R15,1),%XMM14                   ;	linear pattern;	64
0x402e05:	MOVSD -0x18(%RSP),%XMM15                          ;	linear pattern;	constant
0x402e11:	MOVSD -0x28(%R13,%R15,1),%XMM14                   ;	linear pattern;	64
0x402e18:	MULSD -0x18(%R13,%RSI,1),%XMM14                   ;	linear pattern;	64
0x402e1f:	MOVSD %XMM15,-0x18(%RSP)                          ;	linear pattern;	constant
0x402e2b:	MOVSD 0x10(%R11,%R9,1),%XMM15                     ;	linear pattern;	64
0x402e32:	MULSD -0x28(%R13,%R15,1),%XMM15                   ;	linear pattern;	64
0x402e39:	MOVSD -0x30(%R13,%R15,1),%XMM14                   ;	linear pattern;	64
0x402e45:	MULSD -0x20(%R13,%RSI,1),%XMM14                   ;	linear pattern;	64
